Product ID,Brand Name,Product Name,Ingredients,Weight,Expiring Date,Certificate,Country,Price,Location of Product in Store
27c147d9-b9a2-41c8-973c-4e355afe96e8,INDOMIE,Halal Soto Instant noodle​,"Wheat Flour (62%), Refined Palm Oil (Contains TBHQ), Seasoning Powder: Salt, Sugar, Garlic Powder, Onion Powder, Yeast Extract, Artificial Flavor, Pepper​",225,2023-12-19,"HALAL, Kosher​,  VEGAN FRIENDLY ",Indonesia,2690​,7
d1b43296-dea7-4ee7-b7a8-c991b8292ed5,"Lutz, Torres and Morales",traditional,"['three', 'performance', 'town']",319,2023-11-28,HALAL,Greece,32.03,4
a54f5fa2-0be3-407d-8f29-9f22f59953fc,Cisneros Group,let,"['recognize', 'structure', 'yeah']",316,2023-12-02,FDA,China,54.85,9
148ce339-fabc-471f-b510-b0c47d6165d7,Khan-Rose,dark,"['inside', 'of', 'wrong']",949,2023-12-17,FDA,Kenya,31.16,5
6354f3eb-c188-4227-8296-123834947af6,"Villa, Norman and Campbell",her,"['after', 'network', 'avoid']",853,2023-12-20,HALAL,Niue,49.26,3
a609d51e-dbd9-45c2-9ee9-c3b7945929a2,Walker-Fitzpatrick,whom,"['believe', 'market', 'thank']",41,2023-12-08,KOSHER,Bolivia,2.69,9
16864e4c-6fa0-4bb8-bd0d-26b02ab4f074,"Pierce, Silva and Stafford",provide,"['loss', 'artist', 'relationship']",981,2023-12-10,CE,Korea,49.82,2
47d5567c-da64-4e11-a558-ef2ce846a823,Williams Inc,course,"['strong', 'laugh', 'past']",972,2023-12-16,ISO,Denmark,63.4,5
cd33cf2a-6e91-4f08-867a-32625f67465c,"Humphrey, Hansen and Raymond",over,"['pass', 'song', 'language']",269,2023-12-11,CE,Wallis and Futuna,79.77,3
55923e2a-ed02-4648-8e21-31446af227b4,Smith PLC,more,"['standard', 'happy', 'senior']",286,2023-12-18,VEGAN FRIENDLY,Congo,53.78,1
bf41effd-5490-4888-883a-960ee499fcaa,Hood PLC,site,"['his', 'accept', 'before']",193,2023-12-03,NON_GMO,Ghana,87.68,10
e6886906-2df5-4069-8082-ea0b8b415a38,Lopez and Sons,rather,"['fill', 'analysis', 'executive']",935,2023-12-08,CE,Barbados,4.3,4
b2bc6232-3bb2-4a31-bd9f-7b7cff00ce75,"Jensen, Nelson and Keith",feeling,"['without', 'author', 'religious']",498,2023-12-24,FDA,Luxembourg,94.6,2
bf587a09-2bf4-4417-a832-4d6d671f9d44,"Carroll, Moore and Mcdaniel",blood,"['which', 'recognize', 'paper']",744,2023-12-04,KOSHER,Congo,51.29,5
6e844a6f-aa38-4d3f-843b-ac175d65ba2f,Stephens-Mejia,of,"['job', 'car', 'drop']",601,2023-11-30,FDA,Belize,99.76,3
